Player,Season,Team,Location,Opp Team,Date,Result,Mins Played,Field Goal,Field Goal Att,Field Goal %,3 Point Field Goal,3 Point Field Goal Att,3 Point Field Goal %,Free Throw,Free Throw Att,Free Throw %,Rebounds,Assists,Steals,Blocks,Turnovers,Points,Usage %,True Shooting %,Effective Fg %,Total Rebound %,Assist %,Offensive Rating,Defensive Rating,Game Score,Playoffs,Championship Season
Lebron James,2005-2006,CLE,0,IND,2005-12-23,W,43:51,4.0,16.0,0.25,0.0,1.0,0.0,6.0,11.0,0.545,8.0,9.0,1.0,0.0,3.0,14.0,25.0,0.336,0.25,9.7,37.0,83.0,98.0,9.1,False,False
Lebron James,2005-2006,CLE,0,CHI,2005-12-26,W,44:58,12.0,25.0,0.48,0.0,5.0,0.0,8.0,12.0,0.667,8.0,6.0,2.0,2.0,2.0,32.0,33.2,0.528,0.48,9.9,25.4,113.0,96.0,26.1,False,False
Lebron James,2005-2006,CLE,@,NJN,2005-12-27,L,40:18,12.0,21.0,0.571,1.0,5.0,0.2,6.0,9.0,0.667,10.0,8.0,2.0,0.0,4.0,31.0,35.3,0.621,0.595,14.5,43.9,117.0,106.0,25.7,False,False
Lebron James,2005-2006,CLE,0,DET,2005-12-31,W,44:33,11.0,22.0,0.5,2.0,5.0,0.4,6.0,7.0,0.857,7.0,7.0,4.0,1.0,5.0,30.0,31.9,0.598,0.545,8.5,32.6,114.0,92.0,24.9,False,False
Lebron James,2005-2006,CLE,@,MIL,2006-01-04,W,45:42,12.0,29.0,0.414,2.0,8.0,0.25,6.0,7.0,0.857,11.0,11.0,5.0,1.0,4.0,32.0,35.6,0.499,0.448,12.7,54.0,107.0,80.0,29.2,False,False
Lebron James,2005-2006,CLE,0,HOU,2006-01-05,L,44:15,13.0,19.0,0.684,3.0,7.0,0.429,3.0,6.0,0.5,9.0,5.0,1.0,0.0,3.0,32.0,27.3,0.739,0.763,12.2,28.7,135.0,106.0,25.7,False,False
Lebron James,2005-2006,CLE,0,MIL,2006-01-07,W,45:12,14.0,22.0,0.636,3.0,7.0,0.429,4.0,9.0,0.444,7.0,6.0,0.0,1.0,0.0,35.0,26.6,0.674,0.705,8.4,30.2,146.0,102.0,30.6,False,False
Lebron James,2005-2006,CLE,0,NYK,2006-01-10,L,46:00,14.0,31.0,0.452,0.0,7.0,0.0,8.0,11.0,0.727,7.0,7.0,0.0,1.0,1.0,36.0,36.0,0.502,0.452,7.9,42.0,113.0,103.0,25.4,False,False
Lebron James,2005-2006,CLE,@,LAL,2006-01-12,L,40:06,11.0,22.0,0.5,2.0,3.0,0.667,4.0,9.0,0.444,2.0,9.0,0.0,0.0,5.0,28.0,39.8,0.539,0.545,4.0,41.7,103.0,125.0,16.1,False,False
Lebron James,2005-2006,CLE,@,PHO,2006-01-14,L,43:45,18.0,28.0,0.643,5.0,8.0,0.625,5.0,5.0,1.0,7.0,8.0,1.0,0.0,1.0,46.0,32.2,0.762,0.732,10.1,37.7,162.0,129.0,40.9,False,False
Lebron James,2005-2006,CLE,@,POR,2006-01-15,L,41:19,10.0,26.0,0.385,1.0,5.0,0.2,8.0,11.0,0.727,13.0,7.0,1.0,3.0,2.0,29.0,40.8,0.47,0.404,20.1,39.9,105.0,99.0,23.1,False,False
Lebron James,2005-2006,CLE,@,DEN,2006-01-18,L,41:35,7.0,20.0,0.35,2.0,6.0,0.333,8.0,15.0,0.533,11.0,9.0,0.0,0.0,2.0,24.0,31.3,0.451,0.4,13.4,43.4,104.0,103.0,16.4,False,False
Lebron James,2005-2006,CLE,@,GSW,2006-01-20,L,35:12,5.0,22.0,0.227,0.0,3.0,0.0,4.0,6.0,0.667,9.0,6.0,0.0,0.0,6.0,14.0,36.8,0.284,0.227,12.3,31.3,63.0,107.0,0.0,False,False
Lebron James,2005-2006,CLE,@,UTA,2006-01-21,W,42:47,19.0,35.0,0.543,4.0,8.0,0.5,9.0,11.0,0.818,5.0,8.0,2.0,0.0,3.0,51.0,48.3,0.64,0.6,7.7,53.8,131.0,98.0,37.8,False,False
Lebron James,2005-2006,CLE,0,IND,2006-01-24,W,35:22,7.0,21.0,0.333,2.0,5.0,0.4,7.0,10.0,0.7,7.0,8.0,2.0,2.0,1.0,23.0,34.4,0.453,0.381,9.5,42.6,103.0,69.0,20.0,False,False
Lebron James,2005-2006,CLE,@,ATL,2006-01-25,W,45:54,11.0,22.0,0.5,1.0,5.0,0.2,15.0,20.0,0.75,9.0,6.0,3.0,1.0,5.0,38.0,36.5,0.617,0.523,11.6,32.2,119.0,107.0,30.2,False,False
Lebron James,2005-2006,CLE,@,IND,2006-01-27,W,45:06,12.0,23.0,0.522,1.0,2.0,0.5,5.0,8.0,0.625,7.0,9.0,3.0,1.0,6.0,30.0,34.9,0.566,0.543,10.5,49.8,106.0,100.0,23.6,False,False
